Organisation,OrigPropertyCode,ObservedProperty,DataType,StandardCode
NSWGovernment,N10A2,10A_NR,L,TRUE
NSWGovernment,N10D1,10D1,L,TRUE
NSWGovernment,N12A1.Cu,12A1_CU,L,TRUE
NSWGovernment,N12A1.Fe,12A1_FE,L,TRUE
NSWGovernment,N12A1.Mn,12A1_MN,L,TRUE
NSWGovernment,N12A1.Zn,12A1_ZN,L,TRUE
NSWGovernment,N12C1,12C1,L,TRUE
NSWGovernment,N12C2,12C2,L,TRUE
NSWGovernment,N13C1.Fe,13C1_FE,L,TRUE
NSWGovernment,N14A3.Ca,14A3_CA,L,TRUE
NSWGovernment,N14A3.K,14A3_K,L,TRUE
NSWGovernment,N14A3.Mg,14A3_MG,L,TRUE
NSWGovernment,N14A3.Na,14A3_NA,L,TRUE
NSWGovernment,N14B1,14B1,L,TRUE
NSWGovernment,N14B1I,14B1,L,TRUE
NSWGovernment,N15A1.Ca,15A1_CA,L,TRUE
NSWGovernment,N15A1.Ecec,15A1_CEC,L,TRUE
NSWGovernment,N15A1.K,15A1_K,L,TRUE
NSWGovernment,N15A1.Mg,15A1_MG,L,TRUE
NSWGovernment,N15A1.Na,15A1_NA,L,TRUE
NSWGovernment,N15A2.Al,15A2_AL,L,TRUE
NSWGovernment,N15A2.Ca,15A2_CA,L,TRUE
NSWGovernment,N15A2.Ecec,15A2_CEC,L,TRUE
NSWGovernment,N15A2.K,15A2_K,L,TRUE
NSWGovernment,N15A2.Mg,15A2_MG,L,TRUE
NSWGovernment,N15A2.Na,15A2_NA,L,TRUE
NSWGovernment,N15B1.Ca,15B1_CA,L,TRUE
NSWGovernment,N15B1.Cec,15B1_CEC,L,TRUE
NSWGovernment,N15B1.K,15B1_K,L,TRUE
NSWGovernment,N15B1.Mg,15B1_MG,L,TRUE
NSWGovernment,N15B1.Na,15B1_NA,L,TRUE
NSWGovernment,N15C1.Ca,15C1_CA,L,TRUE
NSWGovernment,N15C1.Cec,15C1_CEC,L,TRUE
NSWGovernment,N15C1.K,15C1_K,L,TRUE
NSWGovernment,N15C1.Mg,15C1_MG,L,TRUE
NSWGovernment,N15C1.Na,15C1_NA,L,TRUE
NSWGovernment,N15D1.Ca,15C1_CA,L,TRUE
NSWGovernment,N15D1.K,15D1_K,L,TRUE
NSWGovernment,N15D1.Mg,15D1_MG,L,TRUE
NSWGovernment,N15D1.Na,15D1_NA,L,TRUE
NSWGovernment,N15D3.Ca,15D3_CA,L,TRUE
NSWGovernment,N15D3.Cec,15D3_CEC,L,TRUE
NSWGovernment,N15D3.K,15D3_K,L,TRUE
NSWGovernment,N15D3.Mg,15D3_MG,L,TRUE
NSWGovernment,N15D3.Na,15D3_NA,L,TRUE
NSWGovernment,N15E1.Al,15E1_AL,L,TRUE
NSWGovernment,N15E1.Ca,15E1_CA,L,TRUE
NSWGovernment,N15E1.K,15E1_K,L,TRUE
NSWGovernment,N15E1.Mg,15E1_MG,L,TRUE
NSWGovernment,N15E1.Na,15E1_NA,L,TRUE
NSWGovernment,N15F1.Ca,15F1_CA,L,TRUE
