AGENCY_CODE,LABM_CODE,LABP_CODE,LABMT_CODE,LABM_NAME,LABM_SHORT_NAME,LABM_UNITS,LABM_LOW_VALUE,LABM_HIGH_VALUE
999,10_BC,SULFUR,10.03,"Bicarbonate-extractable sulfur. Keay, Menage and Dean (1972)",Extractable S,?,NA,NA
999,10A_NR,SULFUR,10.013,Total sulfur - S(%) - Not recorded,Total S,%,NA,NA
999,10A1,SULFUR,10.01,Total sulfur - S(%) - X-ray fluorescence,Total S,%,NA,NA
303,10A3,NA,NA,C N S; Dumas,CNS,NA,NA,NA
999,10B,SULFUR,10.02,Extractable sulfur (mg/kg) - Phosphate extractable sulfur,Extractable S,mg/kg,NA,NA
999,10B_NR,SULFUR,10.020,Extractable sulfur (mg/kg) - Not recorded,Extractable S,mg/kg,NA,NA
999,10B1,SULFUR,10.02,Calcium phosphate-extractable sulfur - manual distillation,Extractable S,mg/kg,NA,NA
999,10B2,SULFUR,10.02,Calcium phosphate-extractable sulfur - automated distillation,Extractable S,mg/kg,NA,NA
999,10B3,SULFUR,10.02,Calcium phosphate-extractable sulfur - ICPAES,Extractable S,mg/kg,NA,NA
999,10B4,SULFUR,NA,Calcium phosphate-extractable sulfur - ion chromatography,Extractable S,mg/kg,NA,NA
999,10C1,SULFUR,NA,"Calcium phosphate-extractable sulfur - ICPAES, + charcoal (CPC-S)",Extractable S,mg/kg,NA,NA
999,10D1,SULFUR,10.04,Potassium chloride - 40 sulfur (KCl-40)-S,Extractable S,mg/kg,NA,NA
303,10Z1,NA,NA,4M HCL extr. ICP finish,HCl Extr S,NA,NA,NA
999,11A1,GYPSUM,11.01,Total gypsum,Total Gypsum,%,NA,NA
999,11A2,GYPSUM,NA,Total gypsum - MIR reflectance spectroscopy,Total Gypsum,%,NA,NA
999,12_HCL_CU,TOTAL_ELEMENTS,12.061,Total element - Cu(mg/kg) - Total acid(HCl),Total Cu,mg/kg,NA,NA
999,12_HCL_FE,TOTAL_ELEMENTS,12.064,Total element - Fe(%) - Total acid(HCl) extractable Fe,Total Fe,%,NA,NA
