Dataset,OrigPropertyCode,ObservedProperty,DataType,StandardCode
QLDGovernment,TECH_REF_CODE,s_orig_tech_ref,M,TRUE
QLDGovernment,GEOLOGY_CODE,GEOLOGY_CODE,M,FALSE
QLDGovernment,PATT_TYPE_CODE,s_patt_type,M,TRUE
QLDGovernment,LOCAL_AUTH_CODE,LOCAL_AUTH_CODE,M,FALSE
QLDGovernment,ELEM_TYPE_CODE,s_elem_type,M,TRUE
QLDGovernment,MAP_SCALE,s_map_scale,M,TRUE
QLDGovernment,MAP_SHEET_NO,s_map_sheet_no,M,TRUE
QLDGovernment,SITE_TYPE,s_type,M,TRUE
QLDGovernment,RAINFALL,s_rainfall,M,TRUE
QLDGovernment,SLOPE_EVAL_METHOD,s_slope_eval,M,TRUE
QLDGovernment,SLOPE_PCT,s_slope,M,TRUE
QLDGovernment,SLOPE_CLASS,s_slope_class,M,TRUE
QLDGovernment,SLOPE_MORPH_TYPE,s_morph_type,M,TRUE
QLDGovernment,MODAL_SLOPE,s_modal_slope,M,TRUE
QLDGovernment,ELEM_INC_SLOPE,s_elem_inc_slope,M,TRUE
QLDGovernment,ELEM_LENGTH,s_elem_length,M,TRUE
QLDGovernment,ELEM_WIDTH,s_elem_width,M,TRUE
QLDGovernment,ELEM_HEIGHT,s_elem_height,M,TRUE
QLDGovernment,ELEM_LOCATION,s_elem_location,M,TRUE
QLDGovernment,RELIEF,s_relief,M,TRUE
QLDGovernment,RELIEF_CLASS,s_relief_class,M,TRUE
QLDGovernment,REL_MOD_SLOPE_CLASS,s_rel_ms_class,M,TRUE
QLDGovernment,STRM_CH_SPACING,s_strm_ch_spacing,M,TRUE
QLDGovernment,STRM_CH_DEV,s_strm_ch_dev,M,TRUE
QLDGovernment,STRM_CH_DTOW,s_strm_ch_dtow,M,TRUE
QLDGovernment,STRM_CH_MIG,s_strm_ch_mig,M,TRUE
QLDGovernment,STRM_CH_PATT,s_strm_ch_patt,M,TRUE
QLDGovernment,STRM_CH_NET_INT,s_strm_ch_net_int,M,TRUE
QLDGovernment,STRM_CH_DIR_NET,s_strm_ch_dir_net,M,TRUE
QLDGovernment,ELEM_GEO_NO,egm_no,M,TRUE
QLDGovernment,GEO_AGENT,egm_agent,M,TRUE
QLDGovernment,GEO_MODE,egm_mode,M,TRUE
QLDGovernment,PATT_GEO_NO,pgm_no,M,TRUE
QLDGovernment,GEO_AGENT,pgm_agent,M,TRUE
QLDGovernment,GEO_MODE,pgm_mode,M,TRUE
QLDGovernment,STATUS,pgm_stat,M,TRUE
QLDGovernment,OBS_DATE,o_date_desc,M,TRUE
QLDGovernment,OBS_TYPE,o_type,M,TRUE
QLDGovernment,MAP_REF_TYPE,s_map_ref_type,M,TRUE
QLDGovernment,USER_ID, s_desc_by,M,TRUE
QLDGovernment,PHOTO_NO,s_photo_frame_no,M,TRUE
QLDGovernment,OBS_NO,o_id,M,TRUE
QLDGovernment,LAND_USE_CODE,o_land_use,M,TRUE
QLDGovernment,LITH_CODE,o_sb_lith,M,TRUE
QLDGovernment,MASS_GEN_TYPE_CODE,o_sb_mass_gen_type,M,TRUE
QLDGovernment,REASON_CODE,REASON_CODE,M,FALSE
QLDGovernment,LOC_MEAS_METHOD,LOC_MEAS_METHOD,M,FALSE
QLDGovernment,PHOTO_REF_EAST,o_photo_east,M,TRUE
QLDGovernment,PHOTO_REF_NORTH,o_photo_north,M,TRUE
QLDGovernment,FOREST_TYPE,o_forest_type,M,TRUE
QLDGovernment,RAINFOR_COMPLEX,o_rf_complex,M,TRUE
QLDGovernment,RAINFOR_LEAFSIZE,o_rf_leafsize,M,TRUE
QLDGovernment,RAINFOR_FLOR_COMP,o_rf_flor_comp,M,TRUE
QLDGovernment,RAINFOR_INDICATOR,o_rf_indicator,M,TRUE
QLDGovernment,SCLEROPHYLL,o_sclerophyll,M,TRUE
QLDGovernment,ASPECT,o_aspect,M,TRUE
QLDGovernment,ELEVATION_EVAL_METHOD,o_elevation_eval,M,TRUE
QLDGovernment,ELEVATION,o_elevation,M,TRUE
QLDGovernment,DRAINAGE_EVAL_METHOD,o_drainage_eval,M,TRUE
QLDGovernment,DRAINAGE_HEIGHT,o_drainage_height,M,TRUE
QLDGovernment,DRAINAGE,o_drainage,M,TRUE
QLDGovernment,MICRO_SAMPLED,o_mr_sampled,M,TRUE
QLDGovernment,AGGRADATION,o_aggradation,M,TRUE
QLDGovernment,INUND_FREQ,o_inund_freq,M,TRUE
QLDGovernment,INUND_DURATION,o_inund_dur,M,TRUE
QLDGovernment,INUND_DEPTH,o_inund_depth,M,TRUE
QLDGovernment,INUND_RUNON_VELOCITY,o_inund_runon_vel,M,TRUE
QLDGovernment,DEPTH_WATER,o_depth_water,M,TRUE
QLDGovernment,DEPTH_RHORIZON,o_depth_rhorizon,M,TRUE
QLDGovernment,RUNOFF,o_runoff,M,TRUE
QLDGovernment,PERMEABILITY,o_permeability,M,TRUE
QLDGovernment,SUBS_OBS_TYPE,o_sb_obs_type,M,TRUE
QLDGovernment,SUBS_DISTANCE,o_sb_distance,M,TRUE
QLDGovernment,SUBS_CONFIDENCE,o_sb_confidence,M,TRUE
QLDGovernment,SUBS_DEPTH,o_sb_depth,M,TRUE
QLDGovernment,SUBS_GRAIN_SIZE,o_sb_grain_size,M,TRUE
QLDGovernment,SUBS_TEXTURE,o_sb_texture,M,TRUE
QLDGovernment,SUBS_STRUCTURE,o_sb_structure,M,TRUE
QLDGovernment,SUBS_POROSITY,o_sb_porosity,M,TRUE
QLDGovernment,SUBS_STRENGTH,o_sb_strength,M,TRUE
QLDGovernment,SUBS_MASS_DISC_SPAC,o_sb_mass_spac_dis,M,TRUE
QLDGovernment,SUBS_MASS_ALTERATION,o_sb_mass_alt,M,TRUE
QLDGovernment,SUBS_MASS_STRENGTH,o_sb_mass_strength,M,TRUE
QLDGovernment,SUBS_SPEC_FEATURES,SUBS_SPEC_FEATURES,M,FALSE
QLDGovernment,SITE_MAN_PRAC,SITE_MAN_PRAC,M,FALSE
QLDGovernment,TAX_UNIT_TYPE,o_tax_unit_type,M,TRUE
QLDGovernment,TAX_UNIT_CODE,o_tax_unit_name,M,TRUE
QLDGovernment,MAP_UNIT_TYPE,o_map_unit_type,M,TRUE
QLDGovernment,MAP_UNIT_CODE,o_map_unit_name,M,TRUE
QLDGovernment,ANALYSIS_STATUS,ANALYSIS_STATUS,M,FALSE
QLDGovernment,FREE_WATER_FLAG,FREE_WATER_FLAG,M,FALSE
QLDGovernment,DATUM,o_datum,M,TRUE
QLDGovernment,DERIVED_LOCATION,DERIVED_LOCATION,M,FALSE
QLDGovernment,ZONE,o_amg_zone,M,TRUE
QLDGovernment,EASTING,o_easting,M,TRUE
QLDGovernment,NORTHING,o_northing,M,TRUE
QLDGovernment,LONGITUDE,o_longitude_GDA94,M,TRUE
QLDGovernment,LATITUDE,o_latitude_GDA94,M,TRUE
QLDGovernment,LOC_ACCURACY,LOC_ACCURACY,M,FALSE
QLDGovernment,SOIL_CLASS_NO,SOIL_CLASS_NO,M,FALSE
QLDGovernment,BURIED_FLAG,BURIED_FLAG,M,FALSE
QLDGovernment,ASC_CONFIDENCE,o_asc_conf,M,TRUE
QLDGovernment,ASC_ORD,o_asc_ord,M,TRUE
QLDGovernment,ASC_FAM1,o_asc_fam1,M,TRUE
QLDGovernment,ASC_LEVEL1,ASC_LEVEL1,M,FALSE
QLDGovernment,ASC_FAM2,o_asc_fam2,M,TRUE
QLDGovernment,ASC_LEVEL2,ASC_LEVEL2,M,FALSE
QLDGovernment,ASC_FAM3,o_asc_fam3,M,TRUE
QLDGovernment,ASC_LEVEL3,ASC_LEVEL3,M,FALSE
QLDGovernment,ASC_FAM4,o_asc_fam4,M,TRUE
QLDGovernment,ASC_LEVEL4,ASC_LEVEL4,M,FALSE
QLDGovernment,ASC_FAM5,o_asc_fam5,M,TRUE
QLDGovernment,ASC_LEVEL5,ASC_LEVEL5,M,FALSE
QLDGovernment,WRB_SOIL_GROUP,WRB_SOIL_GROUP,M,FALSE
QLDGovernment,EXHIBIT_GSG_CODE,EXHIBIT_GSG_CODE,M,FALSE
QLDGovernment,AFFINITY_GSG_CODE,AFFINITY_GSG_CODE,M,FALSE
QLDGovernment,TECH_REF_CODE,o_asc_tech_ref,M,TRUE
QLDGovernment,PPF,o_ppf,M,TRUE
QLDGovernment,SUBGROUP_ASC_CODE,o_asc_subg,M,TRUE
QLDGovernment,SUBORD_ASC_CODE,o_asc_subord,M,TRUE
QLDGovernment,GREAT_GROUP_ASC_CODE,o_gsg,M,TRUE
QLDGovernment,DISTURB_TYPE,dist_type,M,TRUE
QLDGovernment,SURF_COND_NO,scon_no,M,TRUE
QLDGovernment,STATUS,scon_stat,M,TRUE
QLDGovernment,MICRO_NO,mr_no,M,TRUE
QLDGovernment,MICRO_TYPE,mr_type,M,TRUE
QLDGovernment,PROPORTION_GILGAI,mr_prop_gilgai,M,TRUE
QLDGovernment,BIOTIC_AGENT,mr_biotic_agent,M,TRUE
QLDGovernment,BIOTIC_COMP,mr_biotic_comp,M,TRUE
QLDGovernment,VERTICAL_INTERVAL,mr_vertical_int,M,TRUE
QLDGovernment,HORIZ_INTERVAL,mr_horiz_int,M,TRUE
QLDGovernment,DEPRESSION_WIDTH,mr_width,M,TRUE
QLDGovernment,GULLY_DEPTH,oc_gully_depth,M,TRUE
QLDGovernment,SURF_FRAG_NO,scf_no,M,TRUE
QLDGovernment,ABUNDANCE,scf_abun,M,TRUE
QLDGovernment,LITH_CODE,scf_lith,M,TRUE
QLDGovernment,SURF_FRAG_SIZE,scf_size,M,TRUE
QLDGovernment,SHAPE,scf_shape,M,TRUE
QLDGovernment,STRENGTH,scf_strength,M,TRUE
QLDGovernment,ALTERATION,scf_alteration,M,TRUE
QLDGovernment,OUTCROP_NO,ro_no,M,TRUE
QLDGovernment,ABUNDANCE,ro_abun,M,TRUE
QLDGovernment,LITH_CODE,ro_lith,M,TRUE
QLDGovernment,ALTERATION,ro_alteration,M,TRUE
QLDGovernment,VEG_STRATA_CODE,vstr_code,M,TRUE
QLDGovernment,GROWTH_FORM,vstr_growth_form,M,TRUE
QLDGovernment,HEIGHT_CLASS,vstr_height_class,M,TRUE
QLDGovernment,COVER_CLASS,vstr_cover_class,M,TRUE
QLDGovernment,CROWN_COVER_PCT,vstr_crown_cover,M,TRUE
QLDGovernment,VEG_SPEC_CODE,vsp_code,M,TRUE
QLDGovernment,VEG_PROP,vsp_abun,M,TRUE
QLDGovernment,HORIZON_NO,h_no,M,TRUE
QLDGovernment,UPPER_DEPTH,h_upper_depth,M,TRUE
QLDGovernment,LOWER_DEPTH,h_lower_depth,M,TRUE
QLDGovernment,TEXTURE_CODE,h_texture,M,TRUE
QLDGovernment,HORIZON_NAME,HORIZON_NAME,M,FALSE
QLDGovernment,DESIGN_NUM_PREFIX,h_desig_num_pref,M,TRUE
QLDGovernment,DESIGN_MASTER,h_desig_master,M,TRUE
QLDGovernment,DESIGN_SUBDIV,h_desig_subdiv,M,TRUE
QLDGovernment,TEXTURE_QUALIFIER,h_texture_qual,M,TRUE
QLDGovernment,SOIL_WATER_STAT,h_soil_water_stat,M,TRUE
QLDGovernment,STICKINESS,h_stickiness,M,TRUE
QLDGovernment,PLASTICITY_TYPE,h_plasticity_type,M,TRUE
QLDGovernment,PLASTICITY_DEG,h_plasticity_deg,M,TRUE
QLDGovernment,WATER_REPELLENCE,h_water_repellence,M,TRUE
QLDGovernment,BOUND_DISTINCT,h_bound_distinct,M,TRUE
QLDGovernment,BOUND_SHAPE,h_bound_shape,M,TRUE
QLDGovernment,PERMEABILITY,h_permeability,M,TRUE
QLDGovernment,RIPENESS,RIPENESS,M,FALSE
QLDGovernment,DRAINAGE,DRAINAGE,M,FALSE
QLDGovernment,HOR_COL_NO,col_no,M,TRUE
QLDGovernment,COLOUR_BOOK,COLOUR_BOOK,M,FALSE
