TableName,ColumnName,DomainName,Description,DataType,
AGENCIES,STATE_CODE,,State code p7  Note: new codes,VARCHAR,
AGENCIES,AGENCY_CODE,,Agency unique identifier,VARCHAR,
AGENCIES,AGENCY_NAME,,Name of agency,VARCHAR,
AGENCIES,AGENCY_ACRONYM,,"Acronym of agency, e.g. ACLEP",VARCHAR,
DBKEY,AGENCY_CODE,,Agency identifier,VARCHAR,
DBKEY,PROJ_CODE,,Project identifier,VARCHAR,
DBKEY,S_ID,,Site identifier,VARCHAR,
DBKEY,O_ID,,Observation identifier,VARCHAR,
DBKEY,H_NO,,Horizon identifier,INTEGER,
DBKEY,SAMP_NO,,Sample number,INTEGER,
ARCHIVE_SAMPLES,JAR_NO,,Jar number,INTEGER,
ARCHIVE_SAMPLES,SAMP_TYPE,C_AS_SAMP_TYPE,"Sample type, e.g. fine earth, whole soil",VARCHAR,
ARCHIVE_SAMPLES,LOCATION,,Location of sample i.e. shelf number,VARCHAR,
ARCHIVE_SAMPLES,WEIGHT,,Weight of the sample (in grams),FLOAT,
ARCHIVE_SAMPLES,>2mm,,Presence of coarse fragment sample,VARCHAR,
ARCHIVE_SAMPLES,SPEC_ID,,Subsample ID for spectroscopy,INTEGER,
ARCHIVE_SAMPLES,SUBSAMPLE_DATE,,Date of subsampling,VARCHAR,
ARCHIVE_SAMPLES,SUBSAMPLE_TRAY,,Subsample tray identifier,VARCHAR,
COARSE_FRAGS,CF_NO,,Coarse fragment number,INTEGER,
COARSE_FRAGS,CF_ABUN,N_CF_ABUN,Coarse fragments abundance p139,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/_coarse-fragments-abundance
COARSE_FRAGS,CF_SIZE,N_CF_SIZE,Coarse fragments size p140,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/_coarse-fragments-size
COARSE_FRAGS,CF_SHAPE,C_CF_SHAPE,Coarse fragments shape p142,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/_coarse-fragments-shape
COARSE_FRAGS,CF_LITH,C_LITHOLOGY,Coarse fragment lithology p142,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/_coarse-fragments-lithology
COARSE_FRAGS,CF_STRENGTH,C_CF_STRENGTH,Coarse fragments strength p142,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/_coarse-fragments-strength
COARSE_FRAGS,CF_DISTRIBUTION,C_CF_DISTRIBUTION,Coarse fragments distribution p170,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/coarse-fragments-distribution
COLOURS,COL_NO,,Colour number,INTEGER,
COLOURS,COL_HUE_VAL_CHROM,C_MUNSELL_COLOUR,Colour  for decode,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/colour
COLOURS,COL_HUE,,Colour hue p159,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/colour
COLOURS,COL_VALUE,,Colour value p159,FLOAT,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/colour
COLOURS,COL_CHROMA,,Colour chroma p159,FLOAT,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/_colour-stat
COLOURS,COL_MOISTURE_STAT,C_MOISTURE_STAT,Colour moisture status p159,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/colour
CRACKS,CRACK_NO,,Crack number,INTEGER,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/voids-cracks
CRACKS,CRACK_WIDTH,N_CRACK_WIDTH,Crack width p184,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/voids-cracks
CUTANS,CUTAN_NO,,Cutan number,INTEGER,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/cutans
CUTANS,CUTAN_TYPE,C_CUTAN_TYPE,Type of cutan p182,VARCHAR,http://registry.it.csiro.au/def/soil/au/asls/soil-prof/cutans-type
