,Property,PropertyType,PropertyGroup,Description.x,TableName,DomainName,DataType,VocabURL
4,>2mm,FieldMeasurement,ARCHIVE_SAMPLES,Presence of coarse fragment sample,ARCHIVE_SAMPLES,,VARCHAR,
5,10_BC,LaboratoryMeasurement,SULFUR,"Bicarbonate-extractable sulfur. Keay, Menage and Dean (1972)",LAB_METHODS,,FLOAT,
6,10A_NR,LaboratoryMeasurement,SULFUR,Total sulfur - S(%) - Not recorded,LAB_METHODS,,FLOAT,
7,10A1,LaboratoryMeasurement,SULFUR,Total sulfur - S(%) - X-ray fluorescence,LAB_METHODS,,FLOAT,
8,10A3,LaboratoryMeasurement,SULFUR,,LAB_METHODS,,FLOAT,
9,10B,LaboratoryMeasurement,SULFUR,Extractable sulfur (mg/kg) - Phosphate extractable sulfur,LAB_METHODS,,FLOAT,
10,10B_NR,LaboratoryMeasurement,SULFUR,Extractable sulfur (mg/kg) - Not recorded,LAB_METHODS,,FLOAT,
11,10B1,LaboratoryMeasurement,SULFUR,Calcium phosphate-extractable sulfur - manual distillation,LAB_METHODS,,FLOAT,
12,10B2,LaboratoryMeasurement,SULFUR,Calcium phosphate-extractable sulfur - automated distillation,LAB_METHODS,,FLOAT,
13,10B3,LaboratoryMeasurement,SULFUR,Calcium phosphate-extractable sulfur - ICPAES,LAB_METHODS,,FLOAT,
14,10B4,LaboratoryMeasurement,SULFUR,Calcium phosphate-extractable sulfur - ion chromatography,LAB_METHODS,,FLOAT,
15,10C1,LaboratoryMeasurement,SULFUR,"Calcium phosphate-extractable sulfur - ICPAES, + charcoal (CPC-S)",LAB_METHODS,,FLOAT,
16,10D1,LaboratoryMeasurement,SULFUR,Potassium chloride - 40 sulfur (KCl-40)-S,LAB_METHODS,,FLOAT,
17,10Z1,LaboratoryMeasurement,SULFUR,,LAB_METHODS,,FLOAT,
18,11A1,LaboratoryMeasurement,GYPSUM,Total gypsum,LAB_METHODS,,FLOAT,
19,11A2,LaboratoryMeasurement,GYPSUM,Total gypsum - MIR reflectance spectroscopy,LAB_METHODS,,FLOAT,
20,12_HCL_CU,LaboratoryMeasurement,Micronutrients,Total element - Cu(mg/kg) - Total acid(HCl),LAB_METHODS,,FLOAT,
21,12_HCL_FE,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - Total acid(HCl) extractable Fe,LAB_METHODS,,FLOAT,
22,12_HCL_FEO,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - Total acid(HCl) extractable Fe2O3,LAB_METHODS,,FLOAT,
23,12_HCL_MN,LaboratoryMeasurement,Micronutrients,Total element - Mn(mg/kg) - Total acid(HCl),LAB_METHODS,,FLOAT,
24,12_HCL_ZN,LaboratoryMeasurement,Micronutrients,Total element - Zn(mg/kg) - Total acid(HCl),LAB_METHODS,,FLOAT,
25,12_HF_CU,LaboratoryMeasurement,Micronutrients,Total element - Cu(mg/kg) - HF/HClO4 Digest,LAB_METHODS,,FLOAT,
26,12_HF_FE,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - HF/HClO4 Digest,LAB_METHODS,,FLOAT,
27,12_HF_MN,LaboratoryMeasurement,Micronutrients,Total element - Mn(mg/kg) - HF/HClO4 Digest,LAB_METHODS,,FLOAT,
28,12_HF_ZN,LaboratoryMeasurement,Micronutrients,Total element - Zn(mg/kg) - HF/HClO4 Digest,LAB_METHODS,,FLOAT,
29,12_HF+_FEO,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - HF/HClO4 Digest(Fe2O3),LAB_METHODS,,FLOAT,
30,12_NR_CU,LaboratoryMeasurement,Micronutrients,Total element - Cu(mg/kg) - Not recorded,LAB_METHODS,,FLOAT,
31,12_NR_FE,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - Not recorded,LAB_METHODS,,FLOAT,
32,12_NR_MN,LaboratoryMeasurement,Micronutrients,Total element - Mn(mg/kg) - Not recorded,LAB_METHODS,,FLOAT,
33,12_NR_ZN,LaboratoryMeasurement,Micronutrients,Total element - Zn(mg/kg) - Not recorded,LAB_METHODS,,FLOAT,
34,12_XRF_CU,LaboratoryMeasurement,Micronutrients,Total element - Cu(mg/kg) - X-Ray Fuoresence,LAB_METHODS,,FLOAT,
35,12_XRF_FE,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - X-Ray Fuoresence,LAB_METHODS,,FLOAT,
36,12_XRF_FEO,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - X-Ray Fuoresence (Fe2O3),LAB_METHODS,,FLOAT,
37,12_XRF_MN,LaboratoryMeasurement,Micronutrients,Total element - Mn(mg/kg) - X-Ray Fuoresence,LAB_METHODS,,FLOAT,
38,12_XRF_ZN,LaboratoryMeasurement,Micronutrients,Total element - Zn(mg/kg) - X-Ray Fuoresence,LAB_METHODS,,FLOAT,
39,12A1_AL,LaboratoryMeasurement,Micronutrients,"DTPA - extractable copper, zinc, manganese,aluminium and iron",LAB_METHODS,,FLOAT,
40,12A1_CU,LaboratoryMeasurement,Micronutrients,"DTPA - extractable copper, zinc, manganese and iron",LAB_METHODS,,FLOAT,
41,12A1_FE,LaboratoryMeasurement,Micronutrients,"DTPA - extractable copper, zinc, manganese and iron",LAB_METHODS,,FLOAT,
42,12A1_MN,LaboratoryMeasurement,Micronutrients,"DTPA - extractable copper, zinc, manganese and iron",LAB_METHODS,,FLOAT,
43,12A1_ZN,LaboratoryMeasurement,Micronutrients,"DTPA - extractable copper, zinc, manganese and iron",LAB_METHODS,,FLOAT,
44,12B1_CU,LaboratoryMeasurement,Micronutrients,Ammonium bicarbonate/EDTA - extractable copper,LAB_METHODS,,FLOAT,
45,12B1_FE,LaboratoryMeasurement,Micronutrients,Ammonium bicarbonate/EDTA - extractable Iron,LAB_METHODS,,FLOAT,
46,12B1_MN,LaboratoryMeasurement,Micronutrients,Ammonium bicarbonate/EDTA - extractable manganese,LAB_METHODS,,FLOAT,
47,12B1_ZN,LaboratoryMeasurement,Micronutrients,Ammonium bicarbonate/EDTA - extractable zinc,LAB_METHODS,,FLOAT,
48,12C1,LaboratoryMeasurement,Micronutrients,Calcium chloride extractable boron - manual colour,LAB_METHODS,,FLOAT,
49,12C2,LaboratoryMeasurement,Micronutrients,Calcium chloride extractable boron - ICPAES,LAB_METHODS,,FLOAT,
50,12C3,LaboratoryMeasurement,Micronutrients,"Water extract, ICP",LAB_METHODS,,FLOAT,
51,12D1_CU,LaboratoryMeasurement,Micronutrients,"0.1 M HCl - extractable copper, zinc, manganese and iron",LAB_METHODS,,FLOAT,
52,12D1_FE,LaboratoryMeasurement,Micronutrients,"0.1 M HCl - extractable copper, zinc, manganese and iron",LAB_METHODS,,FLOAT,
53,12D1_MN,LaboratoryMeasurement,Micronutrients,"0.1 M HCl - extractable copper, zinc, manganese and iron",LAB_METHODS,,FLOAT,
54,12D1_ZN,LaboratoryMeasurement,Micronutrients,"0.1 M HCl - extractable copper, zinc, manganese and iron",LAB_METHODS,,FLOAT,
55,1.20E+02,LaboratoryMeasurement,Micronutrients,Calcium chloride - extractable Mo,LAB_METHODS,,FLOAT,
56,13_C_FE,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Extractable Fe(%) - Method recorded as C,LAB_METHODS,,FLOAT,
57,13_NR_AL,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Extractable Al(%) - Not recorded,LAB_METHODS,,FLOAT,
58,13_NR_FE,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Extractable Fe(%) - Not recorded,LAB_METHODS,,FLOAT,
59,13_NR_MN,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Extractable Mn(%) - Not recorded,LAB_METHODS,,FLOAT,
60,13A1,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Si,LAB_METHODS,,FLOAT,
61,13A1_AL,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Oxalate-extractable aluminium,LAB_METHODS,,FLOAT,
62,13A1_FE,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Oxalate-extractable iron,LAB_METHODS,,FLOAT,
63,13A1_MN,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Oxalate-extractable manganese,LAB_METHODS,,FLOAT,
64,13A1_SI,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Oxalate-extractable silicon,LAB_METHODS,,FLOAT,
65,13B1_AL,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Pyrophosphate-extractable aluminium,LAB_METHODS,,FLOAT,
66,13B1_FE,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Pyrophosphate-extractable iron,LAB_METHODS,,FLOAT,
67,13C_C_FE,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Extractable Fe (Free) % - Method recorded as C,LAB_METHODS,,FLOAT,
68,13C1_AL,LaboratoryMeasurement,"Extractable iron, aluminium and silicon","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",LAB_METHODS,,FLOAT,
69,13C1_FE,LaboratoryMeasurement,"Extractable iron, aluminium and silicon","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",LAB_METHODS,,FLOAT,
70,13C1_FE203,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Extractable Fe(Free) % - Citrate/Dithionite Extractable Fe2O3,LAB_METHODS,,FLOAT,
71,13C1_MN,LaboratoryMeasurement,"Extractable iron, aluminium and silicon","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",LAB_METHODS,,FLOAT,
72,13C1_SI,LaboratoryMeasurement,"Extractable iron, aluminium and silicon","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",LAB_METHODS,,FLOAT,
73,13D1,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Acid-extractable soil silicon - automated colour,LAB_METHODS,,FLOAT,
74,13D2,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Acid-extractable soil silicon - ICPAES,LAB_METHODS,,FLOAT,
75,14_NR_S,LaboratoryMeasurement,Saturation extracts,NA,LAB_METHODS,,FLOAT,
76,14A1,LaboratoryMeasurement,Saturation extracts,Saturation extract - filter suction,LAB_METHODS,,FLOAT,
77,14A2,LaboratoryMeasurement,Saturation extracts,Saturation extract - automatic extractor,LAB_METHODS,,FLOAT,
78,14A3,LaboratoryMeasurement,Saturation extracts,"Saturation extract - centrifuge, closed system",LAB_METHODS,,FLOAT,
79,14A4,LaboratoryMeasurement,Saturation extracts,"Saturation extract - centrifuge, Gillman",LAB_METHODS,,FLOAT,
80,14B1,LaboratoryMeasurement,Saturation extracts,Electrical conductivity/SE,LAB_METHODS,,FLOAT,
81,14C1,LaboratoryMeasurement,Saturation extracts,pH/SE,LAB_METHODS,,FLOAT,
82,14D1_BC,LaboratoryMeasurement,Saturation extracts,Bicarbonate/SE and carbonate/SE - potentiometric titration,LAB_METHODS,,FLOAT,
83,14D1_BiCar,LaboratoryMeasurement,Saturation extracts,Bicarbonate/SE - potentiometric titration,LAB_METHODS,,FLOAT,
84,14D1_C,LaboratoryMeasurement,Saturation extracts,Bicarbonate/SE and carbonate/SE - potentiometric titration,LAB_METHODS,,FLOAT,
85,14D1_Carb,LaboratoryMeasurement,Saturation extracts,Carbonate/SE - potentiometric titration,LAB_METHODS,,FLOAT,
86,14D2_BC,LaboratoryMeasurement,Saturation extracts,Bicarbonate/SE and carbonate/SE - indicator method,LAB_METHODS,,FLOAT,
87,14D2_BiCar,LaboratoryMeasurement,Saturation extracts,Bicarbonate/SE  - indicator method,LAB_METHODS,,FLOAT,
88,14D2_C,LaboratoryMeasurement,Saturation extracts,Bicarbonate/SE and carbonate/SE - indicator method,LAB_METHODS,,FLOAT,
89,14D2_Carb,LaboratoryMeasurement,Saturation extracts,Carbonate/SE - indicator method,LAB_METHODS,,FLOAT,
90,1.40E+02,LaboratoryMeasurement,Saturation extracts,Chloride/SE - potentiometric titration,LAB_METHODS,,FLOAT,
91,1.40E+03,LaboratoryMeasurement,Saturation extracts,Chloride/SE - ion chromatography,LAB_METHODS,,FLOAT,
92,14E2a,LaboratoryMeasurement,Saturation extracts,Chloride/SE - ion chromatography (chemical suppression of eluent conductivity),LAB_METHODS,,FLOAT,
93,14E2b,LaboratoryMeasurement,Saturation extracts,Chloride/SE - ion chromatography (single column with electronic suppression of eluent conductivity),LAB_METHODS,,FLOAT,
94,1.40E+04,LaboratoryMeasurement,Saturation extracts,Chloride/SE - ICPAES,LAB_METHODS,,FLOAT,
95,14F1,LaboratoryMeasurement,Saturation extracts,Sulfate/SE - ICPAES,LAB_METHODS,,FLOAT,
96,14F2,LaboratoryMeasurement,Saturation extracts,Sulfate/SE - turbidimetric,LAB_METHODS,,FLOAT,
97,14F3,LaboratoryMeasurement,Saturation extracts,Sulfate/SE - gravimetric,LAB_METHODS,,FLOAT,
98,14F4,LaboratoryMeasurement,Saturation extracts,Sulfate/SE - automated colour,LAB_METHODS,,FLOAT,
99,14F5,LaboratoryMeasurement,Saturation extracts,Sulfate/SE - ion chromatography,LAB_METHODS,,FLOAT,
100,14F5a,LaboratoryMeasurement,Saturation extracts,Sulfate/SE - ion chromatography (chemical suppression of eluent conductivity),LAB_METHODS,,FLOAT,
101,14F5b,LaboratoryMeasurement,Saturation extracts,Sulfate/SE - ion chromatography (single column with electronic suppression of eluent conductivity),LAB_METHODS,,FLOAT,
102,14G1,LaboratoryMeasurement,Saturation extracts,Fluoride/SE - specific ion electrode,LAB_METHODS,,FLOAT,
103,14G2,LaboratoryMeasurement,Saturation extracts,Fluoride/SE - ion chromatography,LAB_METHODS,,FLOAT,
104,14H1_CA,LaboratoryMeasurement,Saturation extracts,"Soluble bases/SE (Ca,Mg,K,Na)",LAB_METHODS,,FLOAT,
105,14H1_K,LaboratoryMeasurement,Saturation extracts,"Soluble bases/SE (Ca,Mg,K,Na)",LAB_METHODS,,FLOAT,
106,14H1_MG,LaboratoryMeasurement,Saturation extracts,"Soluble bases/SE (Ca,Mg,K,Na)",LAB_METHODS,,FLOAT,
107,14H1_NA,LaboratoryMeasurement,Saturation extracts,"Soluble bases/SE (Ca,Mg,K,Na)",LAB_METHODS,,FLOAT,
108,15_BASES,LaboratoryMeasurement,Ion-exchange properties,Sum of Ex. cations + Ex. acidity - Sum of basic exch. cations,LAB_METHODS,,FLOAT,
109,15_HSK_CEC,LaboratoryMeasurement,Ion-exchange properties,CEC - meq per 100g of soil - HOSK,LAB_METHODS,,FLOAT,
110,15_NR,LaboratoryMeasurement,Ion-exchange properties,Sum of Ex. cations + Ex. acidity - Not recorded,LAB_METHODS,,FLOAT,
111,15_NR_AL,LaboratoryMeasurement,Ion-exchange properties,Aluminium Cation - meq per 100g of soil - Not recorded,LAB_METHODS,,FLOAT,
112,15_NR_BSa,LaboratoryMeasurement,Ion-exchange properties,NA,LAB_METHODS,,FLOAT,
113,15_NR_CA,LaboratoryMeasurement,Ion-exchange properties,Exch. basic cations (Ca++) - meq per 100g of soil - Not recorded,LAB_METHODS,,FLOAT,
114,15_NR_CEC,LaboratoryMeasurement,Ion-exchange properties,CEC - meq per 100g of soil - Not recorded,LAB_METHODS,,FLOAT,
115,15_NR_CMR,LaboratoryMeasurement,Ion-exchange properties,NA,LAB_METHODS,,FLOAT,
116,15_NR_H,LaboratoryMeasurement,Ion-exchange properties,Hydrogen Cation - meq per 100g of soil - Not recorded,LAB_METHODS,,FLOAT,
117,15_NR_K,LaboratoryMeasurement,Ion-exchange properties,Exch. basic cations (K++) - meq per 100g of soil - Not recorded,LAB_METHODS,,FLOAT,
118,15_NR_MG,LaboratoryMeasurement,Ion-exchange properties,Exch. basic cations (Mg++) - meq per 100g of soil - Not recorded,LAB_METHODS,,FLOAT,
119,15_NR_MN,LaboratoryMeasurement,Ion-exchange properties,NA,LAB_METHODS,,FLOAT,
120,15_NR_NA,LaboratoryMeasurement,Ion-exchange properties,Exch. basic cations (Na++) - meq per 100g of soil - Not recorded,LAB_METHODS,,FLOAT,
121,15A1_CA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,,FLOAT,
122,15A1_Ca_MQ,LaboratoryMeasurement,Ion-exchange properties,Exchangeable calcium,LAB_METHODS,,FLOAT,
123,15A1_CEC,LaboratoryMeasurement,Ion-exchange properties,Exchangeable bases,LAB_METHODS,,FLOAT,
124,15A1_K,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,,FLOAT,
125,15A1_MG,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,,FLOAT,
126,15A1_Mg_MQ,LaboratoryMeasurement,Ion-exchange properties,Exchangeable magnesium,LAB_METHODS,,FLOAT,
127,15A1_MN,LaboratoryMeasurement,Ion-exchange properties,NA,LAB_METHODS,,FLOAT,
128,15A1_NA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,,FLOAT,
129,15A2_CA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,,FLOAT,
130,15A2_CEC,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,,FLOAT,
131,15A2_K,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,,FLOAT,
132,15A2_MG,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,,FLOAT,
133,15A2_NA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,,FLOAT,
134,15A3_CA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,,FLOAT,
135,15A3_CEC,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,,FLOAT,
136,15A3_K,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,,FLOAT,
137,15A3_MG,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,,FLOAT,
138,15A3_NA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,,FLOAT,
139,15B1_CA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,,FLOAT,
