Property,PropertyType,PropertyGroup,Description,TableName,DataType,VocabURL
10_BC,LaboratoryMeasurement,SULFUR,"Bicarbonate-extractable sulfur. Keay, Menage and Dean (1972)",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10
10A_NR,LaboratoryMeasurement,SULFUR,Total sulfur - S(%) - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10
10A1,LaboratoryMeasurement,SULFUR,Total sulfur - S(%) - X-ray fluorescence,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10A1
10A3,LaboratoryMeasurement,SULFUR,,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10
10B,LaboratoryMeasurement,SULFUR,Extractable sulfur (mg/kg) - Phosphate extractable sulfur,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10B
10B_NR,LaboratoryMeasurement,SULFUR,Extractable sulfur (mg/kg) - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10
10B1,LaboratoryMeasurement,SULFUR,Calcium phosphate-extractable sulfur - manual distillation,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10B1
10B2,LaboratoryMeasurement,SULFUR,Calcium phosphate-extractable sulfur - automated distillation,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10B2
10B3,LaboratoryMeasurement,SULFUR,Calcium phosphate-extractable sulfur - ICPAES,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10B3
10B4,LaboratoryMeasurement,SULFUR,Calcium phosphate-extractable sulfur - ion chromatography,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10B4
10C1,LaboratoryMeasurement,SULFUR,"Calcium phosphate-extractable sulfur - ICPAES, + charcoal (CPC-S)",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10C1
10D1,LaboratoryMeasurement,SULFUR,Potassium chloride - 40 sulfur (KCl-40)-S,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10D1
10Z1,LaboratoryMeasurement,SULFUR,,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10
11A1,LaboratoryMeasurement,GYPSUM,Total gypsum,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/11A1
11A2,LaboratoryMeasurement,GYPSUM,Total gypsum - MIR reflectance spectroscopy,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/11A2
12_HCL_CU,LaboratoryMeasurement,Micronutrients,Total element - Cu(mg/kg) - Total acid(HCl),LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_HCL_FE,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - Total acid(HCl) extractable Fe,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_HCL_FEO,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - Total acid(HCl) extractable Fe2O3,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_HCL_MN,LaboratoryMeasurement,Micronutrients,Total element - Mn(mg/kg) - Total acid(HCl),LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_HCL_ZN,LaboratoryMeasurement,Micronutrients,Total element - Zn(mg/kg) - Total acid(HCl),LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
