Dataset,ObservedProperty,OrigPropertyCode,DataType,StandardCode
VicGovernment,10_HCL,10_HCL,L,TRUE
VicGovernment,10_HCLP2O5,10_HCLP2O5,L,TRUE
VicGovernment,10A_HF+,10A_HF+,L,TRUE
VicGovernment,10A_NR,10A_NR,L,TRUE
VicGovernment,10A1,10A1,L,TRUE
VicGovernment,10A1_P205,10A1_P205,L,TRUE
VicGovernment,10B,10B,L,TRUE
VicGovernment,10B_NR,10B_NR,L,TRUE
VicGovernment,10B1,10B1,L,TRUE
VicGovernment,10B2,10B2,L,TRUE
VicGovernment,10B3,10B3,L,TRUE
VicGovernment,10C1,10C1,L,TRUE
VicGovernment,11A1,11A1,L,TRUE
VicGovernment,12_HCL_CU,12_HCL_CU,L,TRUE
VicGovernment,12_HCL_FE,12_HCL_FE,L,TRUE
VicGovernment,12_HCL_FEO,12_HCL_FEO,L,TRUE
VicGovernment,12_HCL_MN,12_HCL_MN,L,TRUE
VicGovernment,12_HCL_ZN,12_HCL_ZN,L,TRUE
VicGovernment,12_HF_CU,12_HF_CU,L,TRUE
VicGovernment,12_HF_FE,12_HF_FE,L,TRUE
VicGovernment,12_HF_MN,12_HF_MN,L,TRUE
VicGovernment,12_HF_ZN,12_HF_ZN,L,TRUE
VicGovernment,12_HF+_FEO,12_HF+_FEO,L,TRUE
VicGovernment,12_NR_CU,12_NR_CU,L,TRUE
VicGovernment,12_NR_FE,12_NR_FE,L,TRUE
VicGovernment,12_NR_MN,12_NR_MN,L,TRUE
VicGovernment,12_NR_ZN,12_NR_ZN,L,TRUE
VicGovernment,12_XRF_CU,12_XRF_CU,L,TRUE
VicGovernment,12_XRF_FE,12_XRF_FE,L,TRUE
VicGovernment,12_XRF_FEO,12_XRF_FEO,L,TRUE
VicGovernment,12_XRF_MN,12_XRF_MN,L,TRUE
VicGovernment,12_XRF_ZN,12_XRF_ZN,L,TRUE
VicGovernment,12A1_AL,12A1_AL,L,TRUE
VicGovernment,12A1_CU,12A1_CU,L,TRUE
VicGovernment,12A1_FE,12A1_FE,L,TRUE
VicGovernment,12A1_MN,12A1_MN,L,TRUE
VicGovernment,12A1_ZN,12A1_ZN,L,TRUE
VicGovernment,12AL_EXCH,12AL_EXCH,L,TRUE
VicGovernment,12B1_CU,12B1_CU,L,TRUE
VicGovernment,12B1_ZN,12B1_ZN,L,TRUE
VicGovernment,12C1,12C1,L,TRUE
VicGovernment,12C2,12C2,L,TRUE
VicGovernment,13_C_FE,13_C_FE,L,TRUE
VicGovernment,13_NR_AL,13_NR_AL,L,TRUE
VicGovernment,13_NR_FE,13_NR_FE,L,TRUE
VicGovernment,13A1_AL,13A1_AL,L,TRUE
VicGovernment,13A1_FE,13A1_FE,L,TRUE
VicGovernment,13A1_MN,13A1_MN,L,TRUE
VicGovernment,13A1_SI,13A1_SI,L,TRUE
VicGovernment,13B1_AL,13B1_AL,L,TRUE
VicGovernment,13B1_FE,13B1_FE,L,TRUE
VicGovernment,13C_C_FE,13C_C_FE,L,TRUE
VicGovernment,13C1_AL,13C1_AL,L,TRUE
VicGovernment,13C1_FE,13C1_FE,L,TRUE
VicGovernment,13C1_FE203,13C1_FE203,L,TRUE
VicGovernment,13C1_MN,13C1_MN,L,TRUE
VicGovernment,13C1_SI,13C1_SI,L,TRUE
VicGovernment,14A1,14A1,L,TRUE
VicGovernment,14A2,14A2,L,TRUE
VicGovernment,14A3,14A3,L,TRUE
VicGovernment,14A4,14A4,L,TRUE
VicGovernment,14B1,14B1,L,TRUE
VicGovernment,14C1,14C1,L,TRUE
VicGovernment,14D1_BC,14D1_BC,L,TRUE
VicGovernment,14D1_C,14D1_C,L,TRUE
VicGovernment,14D2_BC,14D2_BC,L,TRUE
